Time,Price,Action,Inventory,Cash,Profit
1999-12-13,96.62,sit,0.0,10000.0,0.0
1999-12-14,98.69,buy,98.69,9901.063274999999,-0.24672500000087894
1999-12-15,108.44,sell,0.0,10009.232175,9.232174999999188
1999-12-16,113.69,buy,113.69,9895.25795,8.947949999999764
1999-12-17,115.25,sit,113.69,9895.25795,10.507949999999255
1999-12-20,112.75,sit,113.69,9895.25795,8.007949999999255
1999-12-21,115.87,sell,0.0,10010.838275,10.838275000000067
1999-12-22,117.56,sit,0.0,10010.838275,10.838275000000067
1999-12-23,117.44,sit,0.0,10010.838275,10.838275000000067
1999-12-27,119.12,buy,119.12,9891.420474999999,10.540474999999788
1999-12-28,117.5,sell,0.0,10008.626724999998,8.62672499999826
1999-12-29,117.94,sit,0.0,10008.626724999998,8.62672499999826
1999-12-30,117.62,sit,0.0,10008.626724999998,8.62672499999826
1999-12-31,116.75,buy,116.75,9891.584849999997,8.33484999999746
2000-01-03,116.56,sit,116.75,9891.584849999997,8.14484999999695
2000-01-04,112.62,sit,116.75,9891.584849999997,4.20484999999826
2000-01-05,113.81,buy,230.56,9777.490324999999,5.110324999999648
2000-01-06,110.0,sit,230.56,9777.490324999999,-2.5096750000011525
2000-01-07,111.44,buy,342.0,9665.771724999999,0.09172499999840511
2000-01-10,112.25,buy,454.25,9553.2411,2.2410999999992782
2000-01-11,109.37,sell,223.69,9771.434249999998,-9.82575000000179
2000-01-12,105.81,buy,329.5,9665.359724999998,-17.210275000001275
2000-01-13,107.81,sell,218.06,9772.900199999998,-11.479800000000978
2000-01-14,112.25,buy,330.31,9660.369574999999,-2.880425000001196
2000-01-18,115.31,sit,330.31,9660.369574999999,6.299574999999095
2000-01-19,107.0,sit,330.31,9660.369574999999,-18.630425000001196
2000-01-20,106.0,sit,330.31,9660.369574999999,-21.630425000001196
2000-01-21,103.75,sell,218.06,9763.8602,-28.639800000000832
2000-01-24,101.25,buy,319.31,9662.357075,-33.892925000000105
2000-01-25,102.81,sit,319.31,9662.357075,-29.212924999999814
2000-01-26,99.37,buy,418.68,9562.73865,-39.78135000000111
2000-01-27,98.75,sit,418.68,9562.73865,-42.261350000000675
2000-01-28,98.25,buy,615.1800000000001,9365.7474,-44.7525999999998
2000-01-31,97.87,buy,908.7900000000001,9071.403374999998,-47.76662500000202
2000-02-01,102.94,buy,1320.5500000000002,8658.613974999997,-3.1660250000040833
2000-02-02,100.81,buy,1925.4099999999999,8052.241824999998,-32.36817500000143
2000-02-03,103.62,buy,2857.989999999999,7117.330375,18.69037500000013
2000-02-04,106.56,buy,4349.829999999999,5621.760774999994,97.28077499999563
2000-02-07,106.62,sit,4349.829999999999,5621.760774999994,99.80077499999425
2000-02-08,109.94,buy,6658.569999999991,3307.248924999999,233.46892499999922
2000-02-09,104.0,sit,6658.569999999991,3307.248924999999,-140.75107500000013
2000-02-10,106.0,sit,6658.569999999991,3307.248924999999,-14.751075000000128
2000-02-11,99.94,buy,9756.709999999992,201.3635749999975,-404.27642500000184
2000-02-14,99.62,sit,9756.709999999992,201.3635749999975,-434.35642500000176
2000-02-15,98.56,sit,9756.709999999992,201.3635749999975,-533.996425000003
2000-02-16,97.62,sit,9756.709999999992,201.3635749999975,-622.3564250000018
2000-02-17,99.62,sit,9756.709999999992,201.3635749999975,-434.35642500000176
2000-02-18,95.06,sit,9756.709999999992,201.3635749999975,-862.996425000003
2000-02-22,93.81,sit,9756.709999999992,201.3635749999975,-980.496425000003
2000-02-23,94.25,sit,9756.709999999992,201.3635749999975,-939.1364250000024
2000-02-24,94.75,sit,9756.709999999992,201.3635749999975,-892.1364250000024
2000-02-25,91.31,sell,4857.1799999999985,4482.204649999998,-1226.2253500000024
2000-02-28,91.56,buy,6963.060000000008,2371.059949999997,-1219.740050000004
2000-02-29,89.37,sit,6963.060000000008,2371.059949999997,-1373.0400500000032
2000-03-01,90.81,sell,3305.159999999999,5541.464074999997,-1280.1859250000034
2000-03-02,93.37,buy,4892.449999999997,3950.205849999999,-1194.5541500000018
2000-03-03,96.12,buy,7391.569999999994,1444.8380500000017,-1057.8019499999973
2000-03-06,90.62,sit,7391.569999999994,1444.8380500000017,-1486.8019499999973
2000-03-07,92.87,sell,3712.929999999997,5057.713224999995,-1320.3567750000038
2000-03-08,95.56,buy,5528.570000000002,3237.5341249999915,-1219.9858750000076
2000-03-09,100.0,sell,2776.8399999999992,6130.284124999991,-969.715875000009
2000-03-10,101.0,buy,4190.839999999999,4712.749124999991,-944.2508750000088
2000-03-13,98.0,sit,4190.839999999999,4712.749124999991,-1073.2508750000088
2000-03-14,95.12,sit,4190.839999999999,4712.749124999991,-1197.090875000009
2000-03-15,95.37,buy,6193.609999999997,2704.9721999999933,-1191.3478000000068
2000-03-16,95.37,sit,6193.609999999997,2704.9721999999933,-1191.3478000000068
2000-03-17,99.37,sell,3113.7699999999977,5876.862599999997,-943.2974000000031
2000-03-20,97.37,buy,4671.689999999996,4315.0477999999985,-1011.1922000000013
2000-03-21,102.75,sell,2320.8799999999987,6774.882799999998,-759.1172000000024
2000-03-22,103.25,buy,3559.8799999999987,5532.785299999998,-750.2147000000023
2000-03-23,111.87,buy,5573.539999999997,3514.0911499999997,-444.92885000000024
2000-03-24,111.69,sell,2942.909999999998,6522.182075000005,-462.1879249999947
2000-03-27,104.06,sit,2942.909999999998,6522.182075000005,-668.1979249999949
2000-03-28,104.31,buy,4298.939999999998,5162.762,-664.8379999999997
2000-03-29,107.19,buy,6442.73999999999,3013.6025000000027,-554.9974999999977
2000-03-30,103.37,sit,6442.73999999999,3013.6025000000027,-784.1974999999966
2000-03-31,106.25,sell,3186.9000000000005,6193.133750000003,-619.3662499999973
2000-04-03,90.87,buy,4549.949999999999,4826.6761250000045,-1084.173874999995
2000-04-04,88.56,buy,6498.270000000008,2873.485325000002,-1192.994674999998
2000-04-05,86.37,sit,6498.270000000008,2873.485325000002,-1339.7246749999977
2000-04-06,86.0,sell,3038.759999999999,5704.390324999998,-1371.6096750000033
2000-04-07,89.06,sit,3038.759999999999,5704.390324999998,-1267.5696750000025
2000-04-10,86.06,sit,3038.759999999999,5704.390324999998,-1369.5696750000025
2000-04-11,83.87,sit,3038.759999999999,5704.390324999998,-1444.0296750000016
2000-04-12,79.37,buy,4388.049999999997,4351.727099999999,-1600.402900000001
2000-04-13,79.25,sit,4388.049999999997,4351.727099999999,-1606.5229
2000-04-14,74.12,buy,6241.049999999995,2494.0946000000017,-1872.785399999997
2000-04-17,75.87,sit,6241.049999999995,2494.0946000000017,-1739.785399999997
2000-04-18,80.56,sit,6241.049999999995,2494.0946000000017,-1383.3453999999983
2000-04-19,78.69,sit,6241.049999999995,2494.0946000000017,-1525.4653999999991
2000-04-20,78.94,sit,6241.049999999995,2494.0946000000017,-1506.4653999999991
2000-04-24,66.62,sell,2884.809999999997,5019.325700000001,-2449.1142999999984
2000-04-25,69.37,buy,4202.839999999996,3698.0006250000033,-2347.9093749999965
2000-04-26,68.0,buy,6106.839999999996,1789.2406250000033,-2430.759374999997
2000-04-27,69.81,sit,6106.839999999996,1789.2406250000033,-2276.9093749999965
2000-04-28,69.75,sell,2944.55,4711.416875000005,-2289.3331249999947
2000-05-01,73.44,sell,1496.0,6249.80127500001,-2134.518724999991
2000-05-02,69.87,sell,748.0,7016.449850000006,-2214.980149999994
2000-05-03,70.56,sell,408.0,7368.367850000007,-2208.2721499999934
2000-05-04,70.44,sell,204.0,7579.159550000007,-2209.5204499999936
2000-05-05,71.12,sell,136.0,7650.101750000007,-2207.658249999993
2000-05-08,69.81,sit,136.0,7650.101750000007,-2210.278249999993
2000-05-09,67.81,sell,68.0,7717.742225000007,-2214.4477749999924
2000-05-10,66.19,buy,134.19,7651.386750000008,-2216.233249999992
2000-05-11,67.87,buy,202.06,7583.347075000008,-2213.0429249999925
2000-05-12,68.81,sit,202.06,7583.347075000008,-2210.222924999992
2000-05-15,69.37,buy,271.43,7513.803650000008,-2208.7163499999915
2000-05-16,69.5,sell,137.24,7652.456150000008,-2208.543849999992
2000-05-17,67.69,buy,204.93,7584.596925000009,-2212.3330749999914
2000-05-18,66.19,sell,137.06,7650.621450000009,-2216.998549999991
2000-05-19,65.06,sit,137.06,7650.621450000009,-2219.2585499999914
2000-05-22,64.19,buy,201.25,7586.2709750000095,-2221.159024999991
2000-05-23,63.19,buy,264.44,7522.92300000001,-2224.31699999999
2000-05-24,65.56,sell,127.38,7653.71520000001,-2215.1647999999905
2000-05-25,61.5,buy,188.88,7592.061450000009,-2223.4385499999908
2000-05-26,61.44,sell,124.69,7653.347850000009,-2223.7721499999907
2000-05-30,63.38,sell,61.5,7716.569400000009,-2220.0505999999905
2000-05-31,62.56,buy,124.06,7653.853000000009,-2221.026999999991
2000-06-01,64.56,buy,188.62,7589.131600000009,-2217.188399999991
2000-06-02,66.31,sell,127.12,7655.275825000009,-2212.1041749999913
2000-06-05,66.87,sit,127.12,7655.275825000009,-2210.9841749999914
2000-06-06,69.62,sell,64.56,7724.721775000009,-2205.658224999991
2000-06-07,70.5,sell,0.0,7795.045525000009,-2204.9544749999914
2000-06-08,68.81,sit,0.0,7795.045525000009,-2204.9544749999914
2000-06-09,68.81,sit,0.0,7795.045525000009,-2204.9544749999914
2000-06-12,66.87,buy,66.87,7728.008350000009,-2205.121649999991
2000-06-13,67.87,sit,66.87,7728.008350000009,-2204.121649999991
2000-06-14,70.5,sell,0.0,7798.332100000009,-2201.6678999999913
2000-06-15,72.37,buy,72.37,7725.781175000009,-2201.848824999991
2000-06-16,72.56,buy,144.93,7653.039775000008,-2201.8402249999917
2000-06-19,73.69,buy,218.62,7579.165550000009,-2199.7644499999915
2000-06-20,74.94,sell,146.25,7653.918200000009,-2196.2017999999907
2000-06-21,80.69,buy,226.94,7573.02647500001,-2184.9035249999906
2000-06-22,79.87,sell,154.38,7652.69680000001,-2187.5631999999905
2000-06-23,77.69,sell,80.69,7730.19257500001,-2192.1174249999904
2000-06-26,79.5,sell,0.0,7809.4938250000105,-2190.5061749999895
2000-06-27,78.81,sit,0.0,7809.4938250000105,-2190.5061749999895
2000-06-28,78.94,sit,0.0,7809.4938250000105,-2190.5061749999895
2000-06-29,77.19,buy,77.19,7732.110850000011,-2190.6991499999895
2000-06-30,80.0,sell,0.0,7811.910850000011,-2188.089149999989
2000-07-03,80.0,sit,0.0,7811.910850000011,-2188.089149999989
2000-07-05,78.5,sit,0.0,7811.910850000011,-2188.089149999989
2000-07-06,80.94,buy,80.94,7730.768500000012,-2188.2914999999884
2000-07-07,82.0,buy,162.94,7648.563500000012,-2187.436499999988
2000-07-10,79.44,sell,82.0,7727.804900000012,-2192.7550999999885
2000-07-11,79.12,buy,161.12,7648.487100000012,-2193.272899999988
2000-07-12,80.31,sit,161.12,7648.487100000012,-2190.892899999988
2000-07-13,79.94,sell,79.12,7728.227250000012,-2191.8327499999887
2000-07-14,78.94,sell,0.0,7806.969900000012,-2193.030099999988
2000-07-17,78.19,buy,78.19,7728.584425000012,-2193.2255749999886
2000-07-18,78.5,sell,0.0,7806.888175000012,-2193.111824999988
2000-07-19,73.12,sit,0.0,7806.888175000012,-2193.111824999988
2000-07-20,74.81,sit,0.0,7806.888175000012,-2193.111824999988
2000-07-21,72.31,buy,72.31,7734.397400000012,-2193.292599999988
2000-07-24,70.56,sit,72.31,7734.397400000012,-2195.042599999988
2000-07-25,69.0,buy,141.31,7665.224900000012,-2196.775099999988
2000-07-26,67.81,buy,209.12,7597.245375000011,-2199.3246249999884
2000-07-27,69.37,sell,136.81,7666.441950000011,-2194.818049999989
2000-07-28,69.69,sit,136.81,7666.441950000011,-2194.1780499999886
2000-07-31,69.81,sell,67.81,7736.077425000011,-2194.1125749999883
