Time,Price,Action,Inventory,Cash,Profit
1999-12-13,96.62,sit,0.0,10000.0,0.0
1999-12-14,98.69,sit,0.0,10000.0,0.0
1999-12-15,108.44,sit,0.0,10000.0,0.0
1999-12-16,113.69,sit,0.0,10000.0,0.0
1999-12-17,115.25,sit,0.0,10000.0,0.0
1999-12-20,112.75,sit,0.0,10000.0,0.0
1999-12-21,115.87,sit,0.0,10000.0,0.0
1999-12-22,117.56,sit,0.0,10000.0,0.0
1999-12-23,117.44,sit,0.0,10000.0,0.0
1999-12-27,119.12,sit,0.0,10000.0,0.0
1999-12-28,117.5,sit,0.0,10000.0,0.0
1999-12-29,117.94,sit,0.0,10000.0,0.0
1999-12-30,117.62,buy,117.62,9882.085949999999,-0.2940500000004249
1999-12-31,116.75,buy,234.37,9765.044074999998,-1.4559250000020256
2000-01-03,116.56,buy,350.93,9648.192674999998,-2.127325000001292
2000-01-04,112.62,sit,350.93,9648.192674999998,-13.947325000001001
2000-01-05,113.81,sit,350.93,9648.192674999998,-10.377325000001292
2000-01-06,110.0,sit,350.93,9648.192674999998,-21.807325000001583
2000-01-07,111.44,buy,462.37,9536.474074999998,-17.765925000001516
2000-01-10,112.25,buy,686.87,9311.412824999998,-15.08717500000239
2000-01-11,109.37,buy,1014.98,8982.482549999995,-33.1874500000049
2000-01-12,105.81,buy,1438.2199999999998,8558.184449999997,-66.28555000000233
2000-01-13,107.81,buy,2085.0799999999995,7909.707299999997,-41.90270000000237
2000-01-14,112.25,sit,2085.0799999999995,7909.707299999997,42.45729999999821
2000-01-18,115.31,sell,1070.0999999999997,8944.902825,98.00282499999958
2000-01-19,107.0,buy,1605.0999999999997,8408.565325,13.565324999999575
2000-01-20,106.0,sit,1605.0999999999997,8408.565325,-1.434675000000425
2000-01-21,103.75,buy,2331.3499999999995,7680.499699999999,-37.0002999999997
2000-01-24,101.25,sit,2331.3499999999995,7680.499699999999,-92.0002999999997
2000-01-25,102.81,sell,1154.25,8808.582425,-60.50757499999963
2000-01-26,99.37,sit,1154.25,8808.582425,-98.34757499999978
2000-01-27,98.75,sit,1154.25,8808.582425,-105.16757499999949
2000-01-28,98.25,sit,1154.25,8808.582425,-110.66757499999949
2000-01-31,97.87,buy,1643.5999999999995,8318.009049999997,-116.070950000003
2000-02-01,102.94,sit,1643.5999999999995,8318.009049999997,-34.950950000002194
2000-02-02,100.81,sell,800.6,9122.472849999995,-71.04715000000579
2000-02-03,103.62,buy,1215.08,8706.956649999991,-49.603350000008504
2000-02-04,106.56,sell,610.22,9344.718249999996,-15.921750000003158
2000-02-07,106.62,sell,310.86,9663.778599999998,-16.361400000001595
2000-02-08,109.94,sell,207.24,9773.443749999999,-6.6762500000022555
2000-02-09,104.0,sit,207.24,9773.443749999999,-18.556250000001455
2000-02-10,106.0,sell,103.62,9879.17875,-14.821250000000873
2000-02-11,99.94,sit,103.62,9879.17875,-20.881250000000364
2000-02-14,99.62,sell,0.0,9978.5497,-21.450300000000425
2000-02-15,98.56,buy,98.56,9879.7433,-21.69670000000042
2000-02-16,97.62,sell,0.0,9977.11925,-22.880750000000262
2000-02-17,99.62,buy,99.62,9877.250199999999,-23.129800000000614
2000-02-18,95.06,sell,0.0,9972.072549999999,-27.927450000001045
2000-02-22,93.81,sit,0.0,9972.072549999999,-27.927450000001045
2000-02-23,94.25,buy,94.25,9877.586925,-28.16307500000039
2000-02-24,94.75,buy,189.0,9782.60005,-27.8999500000009
2000-02-25,91.31,buy,280.31,9691.061775,-35.008224999999584
2000-02-28,91.56,sell,186.06,9782.392875,-34.48712499999965
2000-02-29,89.37,sell,91.31,9871.53945,-39.090549999998984
2000-03-01,90.81,sit,91.31,9871.53945,-37.650550000000294
2000-03-02,93.37,sell,0.0,9964.676025,-35.323974999999336
2000-03-03,96.12,buy,96.12,9868.315725,-35.564274999998815
2000-03-06,90.62,buy,186.74,9777.469175,-41.29082500000004
2000-03-07,92.87,buy,279.61,9684.367,-37.02299999999923
2000-03-08,95.56,sell,183.49,9779.6881,-29.191899999999805
2000-03-09,100.0,buy,283.49,9679.4381,-20.561900000000605
2000-03-10,101.0,sell,192.87,9780.185599999999,-17.814400000001115
2000-03-13,98.0,sell,100.0,9877.940599999998,-24.059400000001915
2000-03-14,95.12,buy,195.12,9782.582799999996,-27.177200000003722
2000-03-15,95.37,sell,95.12,9877.714374999996,-26.915625000003274
2000-03-16,95.37,sell,0.0,9972.845949999995,-27.154050000004645
2000-03-17,99.37,sit,0.0,9972.845949999995,-27.154050000004645
2000-03-20,97.37,buy,97.37,9875.232524999994,-27.397475000005215
2000-03-21,102.75,sell,0.0,9977.725649999995,-22.274350000005143
2000-03-22,103.25,sit,0.0,9977.725649999995,-22.274350000005143
2000-03-23,111.87,sit,0.0,9977.725649999995,-22.274350000005143
2000-03-24,111.69,buy,111.69,9865.756424999994,-22.553575000005367
2000-03-27,104.06,buy,215.75,9761.436274999995,-30.443725000004633
2000-03-28,104.31,sit,215.75,9761.436274999995,-29.943725000004633
2000-03-29,107.19,buy,322.94,9653.978299999993,-24.451700000006895
2000-03-30,103.37,sell,211.25,9757.089874999994,-36.17012500000601
2000-03-31,106.25,buy,317.5,9650.574249999994,-30.67575000000579
2000-04-03,90.87,buy,408.37,9559.477074999993,-77.04292500000702
2000-04-04,88.56,sit,408.37,9559.477074999993,-86.2829250000068
2000-04-05,86.37,sit,408.37,9559.477074999993,-95.04292500000702
2000-04-06,86.0,sit,408.37,9559.477074999993,-96.52292500000658
2000-04-07,89.06,buy,586.49,9380.911774999995,-84.72822500000439
2000-04-10,86.06,sit,586.49,9380.911774999995,-102.72822500000439
2000-04-11,83.87,buy,838.1,9128.672749999992,-116.49725000000763
2000-04-12,79.37,sit,838.1,9128.672749999992,-156.99725000000763
2000-04-13,79.25,buy,1155.1,8810.880249999993,-158.86975000000712
2000-04-14,74.12,buy,1599.8199999999993,8365.048449999987,-226.67155000001185
2000-04-17,75.87,sit,1599.8199999999993,8365.048449999987,-193.42155000001185
2000-04-18,80.56,sell,761.72,9088.275849999984,-106.12415000001602
2000-04-19,78.69,buy,1155.1700000000003,8693.84222499998,-125.80777500001932
2000-04-20,78.94,sit,1155.1700000000003,8693.84222499998,-122.05777500001932
2000-04-24,66.62,sell,615.81,9159.016374999987,-308.02362500001254
2000-04-25,69.37,buy,893.29,8880.842674999984,-286.717325000016
2000-04-26,68.0,sit,893.29,8880.842674999984,-303.1573250000165
2000-04-27,69.81,sit,893.29,8880.842674999984,-281.43732500001715
2000-04-28,69.75,sit,893.29,8880.842674999984,-282.1573250000165
2000-05-01,73.44,buy,1333.9300000000003,8439.10107499998,-238.97892500001944
2000-05-02,69.87,buy,1962.7599999999993,7808.698999999979,-304.8110000000215
2000-05-03,70.56,sit,1962.7599999999993,7808.698999999979,-286.1810000000205
2000-05-04,70.44,buy,2878.48,6890.6896999999835,-291.710300000017
2000-05-05,71.12,buy,4300.879999999998,5464.733699999986,-268.06630000001314
2000-05-08,69.81,sell,2126.7999999999984,7553.797949999987,-351.9020500000115
2000-05-09,67.81,buy,3143.9499999999975,6534.105074999981,-414.444925000018
2000-05-10,66.19,sit,3143.9499999999975,6534.105074999981,-487.34492500001943
2000-05-11,67.87,buy,4637.089999999996,5037.232224999983,-415.4777750000176
2000-05-12,68.81,sell,2306.859999999998,7302.285399999972,-358.17460000002757
2000-05-15,69.37,buy,3486.149999999996,6120.047174999973,-342.0828250000268
2000-05-16,69.5,buy,5223.649999999996,4378.203424999973,-339.79657500002577
2000-05-17,67.69,sit,5223.649999999996,4378.203424999973,-477.3565750000271
2000-05-18,66.19,sit,5223.649999999996,4378.203424999973,-591.3565750000271
2000-05-19,65.06,sit,5223.649999999996,4378.203424999973,-677.2365750000263
2000-05-22,64.19,buy,7662.869999999981,1932.885374999973,-749.4546250000276
2000-05-23,63.19,sit,7662.869999999981,1932.885374999973,-863.4546250000276
2000-05-24,65.56,sit,7662.869999999981,1932.885374999973,-593.2746250000273
2000-05-25,61.5,sit,7662.869999999981,1932.885374999973,-1056.1146250000274
2000-05-26,61.44,sit,7662.869999999981,1932.885374999973,-1062.9546250000276
2000-05-30,63.38,sit,7662.869999999981,1932.885374999973,-841.7946250000259
2000-05-31,62.56,sell,3759.720000000002,5489.8905749999685,-944.1894250000314
2000-06-01,64.56,buy,5567.400000000011,3677.6913749999603,-834.7086250000393
2000-06-02,66.31,buy,8352.420000000026,885.7088249999626,-692.9211750000359
2000-06-05,66.87,sit,8352.420000000026,885.7088249999626,-621.8011750000369
2000-06-06,69.62,sell,4205.339999999997,5260.803674999962,-283.5163250000369
2000-06-07,70.5,sit,4205.339999999997,5260.803674999962,-227.19632500003718
2000-06-08,68.81,buy,6407.26000000001,3053.378874999956,-340.8611250000431
2000-06-09,68.81,sit,6407.26000000001,3053.378874999956,-340.8611250000431
2000-06-12,66.87,sell,3262.879999999998,6255.114474999964,-535.1255250000359
2000-06-13,67.87,sell,1651.4399999999991,7879.922274999959,-491.1977250000418
2000-06-14,70.5,buy,2497.439999999999,7031.807274999959,-430.1927250000408
2000-06-15,72.37,buy,3800.099999999997,5725.890624999961,-366.12937500003864
2000-06-16,72.56,sit,3800.099999999997,5725.890624999961,-355.8693750000384
2000-06-19,73.69,sit,3800.099999999997,5725.890624999961,-294.8493750000398
2000-06-20,74.94,sit,3800.099999999997,5725.890624999961,-227.3493750000398
2000-06-21,80.69,buy,5978.729999999988,3541.8140499999686,77.70404999996754
2000-06-22,79.87,sell,3191.8100000000013,6728.62704999997,3.2970499999701133
2000-06-23,77.69,sit,3191.8100000000013,6728.62704999997,-86.08295000002909
2000-06-26,79.5,sell,1694.4900000000007,8314.652049999979,-15.847950000021228
2000-06-27,78.81,buy,2482.59,7524.581799999975,-32.308200000024954
2000-06-28,78.94,buy,3666.690000000001,6337.521549999981,-31.23845000001893
2000-06-29,77.19,sell,1814.5800000000008,8108.453124999974,-116.17687500002648
2000-06-30,80.0,buy,2694.580000000001,7226.253124999974,-53.74687500002619
