Time,Price,Action,Inventory,Cash,Profit
1999-12-13,96.62,sit,0.0,10000.0,0.0
1999-12-14,98.69,sit,0.0,10000.0,0.0
1999-12-15,108.44,sit,0.0,10000.0,0.0
1999-12-16,113.69,sit,0.0,10000.0,0.0
1999-12-17,115.25,buy,115.25,9884.461875,-0.2881249999991269
1999-12-20,112.75,sit,115.25,9884.461875,-2.788124999999127
1999-12-21,115.87,buy,231.12,9768.3022,0.04219999999986612
1999-12-22,117.56,buy,348.68,9650.4483,3.1283000000003085
1999-12-23,117.44,sit,348.68,9650.4483,2.7682999999997264
1999-12-27,119.12,buy,467.8,9531.030499999999,7.510499999998501
1999-12-28,117.5,buy,702.8,9295.443,0.4429999999993015
1999-12-29,117.94,sell,354.12,9648.37845,2.198449999999866
1999-12-30,117.62,sit,354.12,9648.37845,1.2384500000007392
1999-12-31,116.75,sit,354.12,9648.37845,-1.3715499999998428
2000-01-03,116.56,sell,235.0,9764.64705,-2.2329499999996187
2000-01-04,112.62,buy,347.62,9651.745499999999,-10.394500000000335
2000-01-05,113.81,buy,461.43,9537.650975,-7.109024999999747
2000-01-06,110.0,sell,226.43,9757.100975000001,-22.8990249999988
2000-01-07,111.44,buy,337.87,9645.382375000001,-20.297624999999243
2000-01-10,112.25,sit,337.87,9645.382375000001,-17.867624999998952
2000-01-11,109.37,buy,447.24,9535.73895,-26.781049999999595
2000-01-12,105.81,buy,658.8599999999999,9323.589900000003,-41.550099999996746
2000-01-13,107.81,buy,982.2899999999997,8999.351325000005,-30.358674999995856
2000-01-14,112.25,buy,1431.2899999999997,8549.228825000006,8.4788250000056
2000-01-18,115.31,buy,2123.1499999999996,7855.639175000006,46.529175000005125
2000-01-19,107.0,sit,2123.1499999999996,7855.639175000006,-111.36082499999429
2000-01-20,106.0,sit,2123.1499999999996,7855.639175000006,-130.3608249999943
2000-01-21,103.75,buy,3056.8999999999996,6919.554800000005,-175.44519999999466
2000-01-24,101.25,sit,3056.8999999999996,6919.554800000005,-245.44519999999466
2000-01-25,102.81,buy,4496.240000000001,5476.6164499999995,-205.36355000000003
2000-01-26,99.37,buy,6583.009999999998,3384.6295250000016,-355.0604749999984
2000-01-27,98.75,sit,6583.009999999998,3384.6295250000016,-394.1204749999979
2000-01-28,98.25,sit,6583.009999999998,3384.6295250000016,-425.6204749999979
2000-01-31,97.87,sit,6583.009999999998,3384.6295250000016,-449.5604749999984
2000-02-01,102.94,sell,3217.6799999999976,6567.791674999997,-138.12832500000331
2000-02-02,100.81,buy,4830.64,4950.79927499999,-210.32072500000868
2000-02-03,103.62,sell,2407.919999999999,7431.462074999996,-81.65792500000316
2000-02-04,106.56,sit,2407.919999999999,7431.462074999996,-11.09792500000367
2000-02-07,106.62,buy,3687.359999999998,6148.823474999997,-12.856525000002875
2000-02-08,109.94,sit,3687.359999999998,6148.823474999997,106.66347499999756
2000-02-09,104.0,buy,5559.359999999998,4272.143474999997,-111.85652500000288
2000-02-10,106.0,sit,5559.359999999998,4272.143474999997,-3.8565250000028755
2000-02-11,99.94,buy,8257.739999999987,1567.017524999996,-337.8424750000049
2000-02-14,99.62,sit,8257.739999999987,1567.017524999996,-363.7624750000032
2000-02-15,98.56,sell,4154.380000000001,5499.561525000001,-459.4784749999999
2000-02-16,97.62,sell,2098.7400000000007,7447.080524999994,-502.8994750000056
2000-02-17,99.62,buy,3094.9399999999996,6448.390024999995,-463.3899750000055
2000-02-18,95.06,buy,4520.840000000001,5018.92527499999,-608.3147250000111
2000-02-22,93.81,buy,6678.47000000001,2855.9011999999866,-671.2088000000131
2000-02-23,94.25,sit,6678.47000000001,2855.9011999999866,-640.8488000000143
2000-02-24,94.75,sit,6678.47000000001,2855.9011999999866,-606.3488000000143
2000-02-25,91.31,sit,6678.47000000001,2855.9011999999866,-843.7088000000131
2000-02-28,91.56,sit,6678.47000000001,2855.9011999999866,-826.4588000000131
2000-02-29,89.37,sell,3298.3499999999985,5886.884749999985,-985.1652500000146
2000-03-01,90.81,sit,3298.3499999999985,5886.884749999985,-934.7652500000149
2000-03-02,93.37,buy,4885.639999999997,4295.626524999987,-849.1334750000133
2000-03-03,96.12,sell,2431.5799999999986,6788.498724999998,-712.3812750000034
2000-03-06,90.62,sell,1213.81,7963.613574999992,-858.3264250000084
2000-03-07,92.87,buy,1771.0299999999993,7405.000524999993,-830.4694750000072
2000-03-08,95.56,sit,1771.0299999999993,7405.000524999993,-779.3594750000066
2000-03-09,100.0,sell,930.7,8302.750524999992,-697.2494750000078
2000-03-10,101.0,sit,930.7,8302.750524999992,-687.2494750000078
2000-03-13,98.0,sit,930.7,8302.750524999992,-717.2494750000078
2000-03-14,95.12,buy,1406.2999999999997,7825.9615249999915,-747.2384750000092
2000-03-15,95.37,buy,2073.889999999999,7156.702549999993,-745.1574500000061
2000-03-16,95.37,buy,3122.9599999999978,6105.009874999994,-747.7801250000048
2000-03-17,99.37,sit,3122.9599999999978,6105.009874999994,-615.7801250000048
2000-03-20,97.37,sit,3122.9599999999978,6105.009874999994,-681.7801250000048
2000-03-21,102.75,sell,1621.2899999999995,7744.899874999994,-508.3501250000063
2000-03-22,103.25,sell,858.33,8568.834874999991,-501.91512500000863
2000-03-23,111.87,sell,476.85,9015.196174999988,-425.4538250000114
2000-03-24,111.69,buy,700.23,8791.257724999987,-426.9122750000133
2000-03-27,104.06,sell,414.12,9102.657274999985,-481.1027250000152
2000-03-28,104.31,buy,622.74,8893.515724999987,-480.62427500001286
2000-03-29,107.19,sell,320.31,9214.281799999986,-464.1482000000142
2000-03-30,103.37,buy,423.68,9110.653374999985,-475.8666250000151
2000-03-31,106.25,sell,207.68,9322.622124999985,-464.8778750000147
2000-04-03,90.87,buy,298.55,9231.524949999985,-495.8650500000149
2000-04-04,88.56,sell,194.24,9319.863549999984,-503.01645000001554
2000-04-05,86.37,sell,90.87,9406.017624999984,-507.61237500001516
2000-04-06,86.0,sell,0.0,9491.802624999984,-508.1973750000161
2000-04-07,89.06,buy,89.06,9402.519974999985,-508.4200250000158
2000-04-10,86.06,buy,175.12,9316.244824999985,-511.635175000014
2000-04-11,83.87,sit,175.12,9316.244824999985,-516.015175000015
2000-04-12,79.37,sell,86.06,9395.416399999986,-525.2136000000137
2000-04-13,79.25,buy,165.31,9315.968274999985,-525.5317250000153
2000-04-14,74.12,buy,239.43,9241.662974999985,-535.9770250000147
2000-04-17,75.87,sell,153.37,9317.343299999984,-530.9167000000161
2000-04-18,80.56,sit,153.37,9317.343299999984,-521.5367000000151
2000-04-19,78.69,sell,74.12,9395.836574999985,-525.4734250000147
2000-04-20,78.94,sit,74.12,9395.836574999985,-525.2234250000147
2000-04-24,66.62,buy,140.74,9329.050024999984,-537.7099750000161
2000-04-25,69.37,buy,210.11,9259.506599999982,-532.383400000017
2000-04-26,68.0,buy,278.11,9191.336599999982,-536.6634000000176
2000-04-27,69.81,sit,278.11,9191.336599999982,-529.4234000000179
2000-04-28,69.75,buy,417.61,9051.487849999983,-530.0121500000168
2000-05-01,73.44,sit,417.61,9051.487849999983,-507.8721500000174
2000-05-02,69.87,sit,417.61,9051.487849999983,-529.2921500000175
2000-05-03,70.56,sit,417.61,9051.487849999983,-525.1521500000163
2000-05-04,70.44,sit,417.61,9051.487849999983,-525.8721500000174
2000-05-05,71.12,sell,207.5,9264.314449999982,-522.3255500000178
2000-05-08,69.81,sell,139.5,9333.94992499998,-526.4300750000184
2000-05-09,67.81,sell,69.75,9401.590399999981,-530.5996000000196
2000-05-10,66.19,buy,135.94,9335.23492499998,-532.3850750000202
2000-05-11,67.87,sell,66.19,9402.93524999998,-529.1947500000188
2000-05-12,68.81,sell,0.0,9471.57322499998,-528.4267750000199
2000-05-15,69.37,buy,69.37,9402.029799999978,-528.6002000000208
2000-05-16,69.5,sell,0.0,9471.356049999978,-528.6439500000215
2000-05-17,67.69,sit,0.0,9471.356049999978,-528.6439500000215
2000-05-18,66.19,sit,0.0,9471.356049999978,-528.6439500000215
2000-05-19,65.06,sit,0.0,9471.356049999978,-528.6439500000215
2000-05-22,64.19,sit,0.0,9471.356049999978,-528.6439500000215
2000-05-23,63.19,buy,63.19,9408.008074999978,-528.8019250000216
2000-05-24,65.56,sit,63.19,9408.008074999978,-526.4319250000226
2000-05-25,61.5,buy,124.69,9346.354324999978,-530.6456750000216
2000-05-26,61.44,sit,124.69,9346.354324999978,-530.7656750000224
2000-05-30,63.38,sell,61.5,9409.575874999979,-527.0441250000222
2000-05-31,62.56,sell,0.0,9471.979474999978,-528.0205250000217
2000-06-01,64.56,sit,0.0,9471.979474999978,-528.0205250000217
2000-06-02,66.31,sit,0.0,9471.979474999978,-528.0205250000217
2000-06-05,66.87,buy,66.87,9404.942299999977,-528.1877000000222
2000-06-06,69.62,buy,136.49,9335.148249999977,-525.6117500000237
2000-06-07,70.5,sit,136.49,9335.148249999977,-523.8517500000235
2000-06-08,68.81,sit,136.49,9335.148249999977,-527.2317500000227
2000-06-09,68.81,sit,136.49,9335.148249999977,-527.2317500000227
2000-06-12,66.87,sell,69.62,9401.851074999977,-531.2789250000224
2000-06-13,67.87,sit,69.62,9401.851074999977,-530.2789250000224
2000-06-14,70.5,buy,140.12,9331.174824999976,-527.8251750000236
2000-06-15,72.37,buy,212.49,9258.623899999975,-524.2661000000244
2000-06-16,72.56,sit,212.49,9258.623899999975,-523.6961000000247
2000-06-19,73.69,sit,212.49,9258.623899999975,-520.3061000000253
2000-06-20,74.94,buy,287.43,9183.496549999974,-516.7434500000254
2000-06-21,80.69,sit,287.43,9183.496549999974,-493.7434500000254
2000-06-22,79.87,sell,147.31,9342.837199999973,-497.42280000002756
2000-06-23,77.69,sell,74.94,9420.332974999972,-501.9770250000274
2000-06-26,79.5,sit,74.94,9420.332974999972,-500.16702500002793
2000-06-27,78.81,buy,153.75,9341.325949999973,-501.0540500000261
2000-06-28,78.94,sell,78.81,9420.068599999973,-500.99140000002626
2000-06-29,77.19,sit,78.81,9420.068599999973,-502.74140000002626
2000-06-30,80.0,sit,78.81,9420.068599999973,-499.93140000002677
