Index,Date,Close,1DayAgo,2DayAgo,3DayAgo,4DayAgo,5DayAgo,6DayAgo,7DayAgo,8DayAgo,9DayAgo,10DayAgo
137,20110720,132.649994,132.729996,130.610001,131.690002,130.929993,131.839996,131.399994,131.970001,134.399994,135.360001,133.970001
138,20110721,134.490005,132.649994,132.729996,130.610001,131.690002,130.929993,131.839996,131.399994,131.970001,134.399994,135.360001
139,20110722,134.580002,134.490005,132.649994,132.729996,130.610001,131.690002,130.929993,131.839996,131.399994,131.970001,134.399994
140,20110725,133.830002,134.580002,134.490005,132.649994,132.729996,130.610001,131.690002,130.929993,131.839996,131.399994,131.970001
141,20110726,133.330002,133.830002,134.580002,134.490005,132.649994,132.729996,130.610001,131.690002,130.929993,131.839996,131.399994
142,20110727,130.600006,133.330002,133.830002,134.580002,134.490005,132.649994,132.729996,130.610001,131.690002,130.929993,131.839996
143,20110728,130.220001,130.600006,133.330002,133.830002,134.580002,134.490005,132.649994,132.729996,130.610001,131.690002,130.929993
144,20110729,129.330002,130.220001,130.600006,133.330002,133.830002,134.580002,134.490005,132.649994,132.729996,130.610001,131.690002
145,20110801,128.779999,129.330002,130.220001,130.600006,133.330002,133.830002,134.580002,134.490005,132.649994,132.729996,130.610001
146,20110802,125.489998,128.779999,129.330002,130.220001,130.600006,133.330002,133.830002,134.580002,134.490005,132.649994,132.729996
147,20110803,126.169998,125.489998,128.779999,129.330002,130.220001,130.600006,133.330002,133.830002,134.580002,134.490005,132.649994
148,20110804,120.260002,126.169998,125.489998,128.779999,129.330002,130.220001,130.600006,133.330002,133.830002,134.580002,134.490005
149,20110805,120.080002,120.260002,126.169998,125.489998,128.779999,129.330002,130.220001,130.600006,133.330002,133.830002,134.580002
150,20110808,112.260002,120.080002,120.260002,126.169998,125.489998,128.779999,129.330002,130.220001,130.600006,133.330002,133.830002
151,20110809,117.480003,112.260002,120.080002,120.260002,126.169998,125.489998,128.779999,129.330002,130.220001,130.600006,133.330002
152,20110810,112.290001,117.480003,112.260002,120.080002,120.260002,126.169998,125.489998,128.779999,129.330002,130.220001,130.600006
153,20110811,117.330002,112.290001,117.480003,112.260002,120.080002,120.260002,126.169998,125.489998,128.779999,129.330002,130.220001
154,20110812,118.120003,117.330002,112.290001,117.480003,112.260002,120.080002,120.260002,126.169998,125.489998,128.779999,129.330002
155,20110815,120.620003,118.120003,117.330002,112.290001,117.480003,112.260002,120.080002,120.260002,126.169998,125.489998,128.779999
156,20110816,119.589996,120.620003,118.120003,117.330002,112.290001,117.480003,112.260002,120.080002,120.260002,126.169998,125.489998
157,20110817,119.669998,119.589996,120.620003,118.120003,117.330002,112.290001,117.480003,112.260002,120.080002,120.260002,126.169998
158,20110818,114.510002,119.669998,119.589996,120.620003,118.120003,117.330002,112.290001,117.480003,112.260002,120.080002,120.260002
159,20110819,112.639999,114.510002,119.669998,119.589996,120.620003,118.120003,117.330002,112.290001,117.480003,112.260002,120.080002
160,20110822,112.730003,112.639999,114.510002,119.669998,119.589996,120.620003,118.120003,117.330002,112.290001,117.480003,112.260002
161,20110823,116.440002,112.730003,112.639999,114.510002,119.669998,119.589996,120.620003,118.120003,117.330002,112.290001,117.480003
162,20110824,118.080002,116.440002,112.730003,112.639999,114.510002,119.669998,119.589996,120.620003,118.120003,117.330002,112.290001
163,20110825,116.279999,118.080002,116.440002,112.730003,112.639999,114.510002,119.669998,119.589996,120.620003,118.120003,117.330002
164,20110826,117.970001,116.279999,118.080002,116.440002,112.730003,112.639999,114.510002,119.669998,119.589996,120.620003,118.120003
165,20110829,121.360001,117.970001,116.279999,118.080002,116.440002,112.730003,112.639999,114.510002,119.669998,119.589996,120.620003
166,20110830,121.68,121.360001,117.970001,116.279999,118.080002,116.440002,112.730003,112.639999,114.510002,119.669998,119.589996
167,20110831,122.220001,121.68,121.360001,117.970001,116.279999,118.080002,116.440002,112.730003,112.639999,114.510002,119.669998
168,20110901,120.940002,122.220001,121.68,121.360001,117.970001,116.279999,118.080002,116.440002,112.730003,112.639999,114.510002
169,20110902,117.849998,120.940002,122.220001,121.68,121.360001,117.970001,116.279999,118.080002,116.440002,112.730003,112.639999
170,20110906,116.989998,117.849998,120.940002,122.220001,121.68,121.360001,117.970001,116.279999,118.080002,116.440002,112.730003
171,20110907,120.290001,116.989998,117.849998,120.940002,122.220001,121.68,121.360001,117.970001,116.279999,118.080002,116.440002
172,20110908,119.040001,120.290001,116.989998,117.849998,120.940002,122.220001,121.68,121.360001,117.970001,116.279999,118.080002
173,20110909,115.919998,119.040001,120.290001,116.989998,117.849998,120.940002,122.220001,121.68,121.360001,117.970001,116.279999
174,20110912,116.669998,115.919998,119.040001,120.290001,116.989998,117.849998,120.940002,122.220001,121.68,121.360001,117.970001
175,20110913,117.739998,116.669998,115.919998,119.040001,120.290001,116.989998,117.849998,120.940002,122.220001,121.68,121.360001
176,20110914,119.370003,117.739998,116.669998,115.919998,119.040001,120.290001,116.989998,117.849998,120.940002,122.220001,121.68
177,20110915,121.43,119.370003,117.739998,116.669998,115.919998,119.040001,120.290001,116.989998,117.849998,120.940002,122.220001
178,20110916,121.519997,121.43,119.370003,117.739998,116.669998,115.919998,119.040001,120.290001,116.989998,117.849998,120.940002
179,20110919,120.309998,121.519997,121.43,119.370003,117.739998,116.669998,115.919998,119.040001,120.290001,116.989998,117.849998
180,20110920,120.169998,120.309998,121.519997,121.43,119.370003,117.739998,116.669998,115.919998,119.040001,120.290001,116.989998
181,20110921,116.629997,120.169998,120.309998,121.519997,121.43,119.370003,117.739998,116.669998,115.919998,119.040001,120.290001
182,20110922,112.860001,116.629997,120.169998,120.309998,121.519997,121.43,119.370003,117.739998,116.669998,115.919998,119.040001
183,20110923,113.540001,112.860001,116.629997,120.169998,120.309998,121.519997,121.43,119.370003,117.739998,116.669998,115.919998
184,20110926,116.239998,113.540001,112.860001,116.629997,120.169998,120.309998,121.519997,121.43,119.370003,117.739998,116.669998
