Time,Price,Action,Inventory,Cash,Profit
1999-12-13,96.62,buy,96.62,9903.138449999999,-0.2415500000006432
1999-12-14,98.69,sell,0.0,10001.581724999998,1.5817249999981868
1999-12-15,108.44,sit,0.0,10001.581724999998,1.5817249999981868
1999-12-16,113.69,buy,113.69,9887.607499999998,1.297499999998763
1999-12-17,115.25,sit,113.69,9887.607499999998,2.8574999999982538
1999-12-20,112.75,sit,113.69,9887.607499999998,0.35749999999825377
1999-12-21,115.87,buy,229.56,9771.447824999997,3.1878249999972468
1999-12-22,117.56,sit,229.56,9771.447824999997,6.567824999998265
1999-12-23,117.44,sell,115.87,9888.594224999997,6.034224999997605
1999-12-27,119.12,buy,234.99,9769.176424999996,7.416424999995797
1999-12-28,117.5,buy,352.49,9651.382674999995,3.882674999995288
1999-12-29,117.94,buy,470.43,9533.147824999995,4.907824999994773
1999-12-30,117.62,sit,470.43,9533.147824999995,3.627824999994118
1999-12-31,116.75,sit,470.43,9533.147824999995,0.14782499999455467
2000-01-03,116.56,sell,235.44,9765.685024999993,-1.1949750000057975
2000-01-04,112.62,sit,235.44,9765.685024999993,-9.074975000006816
2000-01-05,113.81,sit,235.44,9765.685024999993,-6.6949750000057975
2000-01-06,110.0,buy,345.44,9655.410024999994,-14.589975000006234
2000-01-07,111.44,sit,345.44,9655.410024999994,-10.269975000006525
2000-01-10,112.25,sit,345.44,9655.410024999994,-7.839975000006234
2000-01-11,109.37,buy,454.81,9545.766599999994,-16.753400000006877
2000-01-12,105.81,buy,666.4300000000001,9333.617549999995,-31.522450000004028
2000-01-13,107.81,sell,320.99,9656.238974999995,-20.331025000004956
2000-01-14,112.25,sell,211.62,9768.208349999995,-7.291650000004665
2000-01-18,115.31,sit,211.62,9768.208349999995,-1.171650000003865
2000-01-19,107.0,buy,318.62,9660.940849999995,-18.059150000004593
2000-01-20,106.0,sell,212.81,9766.675849999996,-21.32415000000401
2000-01-21,103.75,sit,212.81,9766.675849999996,-25.82415000000401
2000-01-24,101.25,sell,107.0,9867.672724999997,-31.077275000003283
2000-01-25,102.81,buy,209.81,9764.605699999996,-29.774300000002768
2000-01-26,99.37,buy,309.18,9664.987274999996,-36.90272500000356
2000-01-27,98.75,sell,202.18,9763.490399999995,-39.009600000004866
2000-01-28,98.25,buy,300.43,9664.994774999996,-40.25522500000443
2000-01-31,97.87,sell,197.62,9762.620099999996,-41.63990000000376
2000-02-01,102.94,sit,197.62,9762.620099999996,-31.499900000004345
2000-02-02,100.81,sit,197.62,9762.620099999996,-35.759900000002744
2000-02-03,103.62,buy,301.24,9658.741049999995,-30.398950000004334
2000-02-04,106.56,sell,201.87,9765.034649999996,-21.845350000003236
2000-02-07,106.62,sell,103.62,9871.388099999996,-21.991900000002715
2000-02-08,109.94,buy,213.56,9761.173249999996,-18.946750000004613
2000-02-09,104.0,sit,213.56,9761.173249999996,-30.826750000003813
2000-02-10,106.0,sit,213.56,9761.173249999996,-26.826750000003813
2000-02-11,99.94,buy,313.5,9660.983399999996,-39.196600000004764
2000-02-14,99.62,sell,209.88,9760.354349999996,-40.40565000000424
2000-02-15,98.56,sell,99.94,9858.667949999995,-42.77205000000504
2000-02-16,97.62,sit,99.94,9858.667949999995,-43.71205000000373
2000-02-17,99.62,sell,0.0,9958.038899999996,-41.96110000000408
2000-02-18,95.06,sit,0.0,9958.038899999996,-41.96110000000408
2000-02-22,93.81,sit,0.0,9958.038899999996,-41.96110000000408
2000-02-23,94.25,sit,0.0,9958.038899999996,-41.96110000000408
2000-02-24,94.75,sit,0.0,9958.038899999996,-41.96110000000408
2000-02-25,91.31,sit,0.0,9958.038899999996,-41.96110000000408
2000-02-28,91.56,sit,0.0,9958.038899999996,-41.96110000000408
2000-02-29,89.37,buy,89.37,9868.445474999995,-42.184525000004214
2000-03-01,90.81,sell,0.0,9959.028449999994,-40.971550000005664
2000-03-02,93.37,buy,93.37,9865.425024999993,-41.204975000006016
2000-03-03,96.12,sell,0.0,9961.304724999993,-38.695275000007314
2000-03-06,90.62,sit,0.0,9961.304724999993,-38.695275000007314
2000-03-07,92.87,sit,0.0,9961.304724999993,-38.695275000007314
2000-03-08,95.56,sit,0.0,9961.304724999993,-38.695275000007314
2000-03-09,100.0,sit,0.0,9961.304724999993,-38.695275000007314
2000-03-10,101.0,buy,101.0,9860.052224999992,-38.94777500000782
2000-03-13,98.0,sell,0.0,9957.807224999991,-42.19277500000862
2000-03-14,95.12,sit,0.0,9957.807224999991,-42.19277500000862
2000-03-15,95.37,sit,0.0,9957.807224999991,-42.19277500000862
2000-03-16,95.37,buy,95.37,9862.198799999991,-42.431200000008175
2000-03-17,99.37,sit,95.37,9862.198799999991,-38.431200000008175
2000-03-20,97.37,sit,95.37,9862.198799999991,-40.431200000008175
2000-03-21,102.75,buy,198.12,9759.191924999992,-35.3080750000081
2000-03-22,103.25,sit,198.12,9759.191924999992,-34.3080750000081
2000-03-23,111.87,sell,102.75,9870.782249999991,-17.34775000000809
2000-03-24,111.69,buy,214.44,9758.81302499999,-17.806975000010425
2000-03-27,104.06,buy,318.5,9654.49287499999,-33.32712500000889
2000-03-28,104.31,sit,318.5,9654.49287499999,-32.57712500000889
2000-03-29,107.19,sit,318.5,9654.49287499999,-23.937125000009473
2000-03-30,103.37,sell,215.75,9757.604449999992,-35.65555000000859
2000-03-31,106.25,sell,104.06,9863.588824999992,-30.16117500000837
2000-04-03,90.87,sit,104.06,9863.588824999992,-45.54117500000757
2000-04-04,88.56,sell,0.0,9951.92742499999,-48.07257500000924
2000-04-05,86.37,buy,86.37,9865.34149999999,-48.28850000000966
2000-04-06,86.0,sell,0.0,9951.12649999999,-48.87350000001061
2000-04-07,89.06,sit,0.0,9951.12649999999,-48.87350000001061
2000-04-10,86.06,sit,0.0,9951.12649999999,-48.87350000001061
2000-04-11,83.87,sit,0.0,9951.12649999999,-48.87350000001061
2000-04-12,79.37,sit,0.0,9951.12649999999,-48.87350000001061
2000-04-13,79.25,buy,79.25,9871.678374999989,-49.07162500001141
2000-04-14,74.12,buy,153.37,9797.373074999989,-54.386925000011615
2000-04-17,75.87,buy,229.24,9721.313399999988,-51.07660000001124
2000-04-18,80.56,buy,309.8,9640.551999999989,-37.20800000001145
2000-04-19,78.69,buy,467.18,9482.778549999988,-45.08145000001241
2000-04-20,78.94,buy,704.0,9245.366499999987,-44.1735000000117
2000-04-24,66.62,buy,970.48,8978.220299999984,-155.71970000001602
2000-04-25,69.37,buy,1386.6999999999994,8560.95974999998,-121.01025000001937
2000-04-26,68.0,sit,1386.6999999999994,8560.95974999998,-147.04025000002002
2000-04-27,69.81,sit,1386.6999999999994,8560.95974999998,-112.6502500000206
2000-04-28,69.75,buy,2014.4499999999994,7931.64037499998,-115.35962500001915
2000-05-01,73.44,buy,3042.61,6900.909974999986,-14.610025000014502
2000-05-02,69.87,buy,4509.879999999998,5429.971799999988,-168.21820000001026
2000-05-03,70.56,sell,2275.1099999999983,7611.863399999992,-130.21660000000702
2000-05-04,70.44,buy,3402.149999999999,6482.005799999998,-136.87420000000202
2000-05-05,71.12,sit,3402.149999999999,6482.005799999998,-104.2342000000026
2000-05-08,69.81,buy,5077.590000000005,4802.377199999988,-171.3028000000122
2000-05-09,67.81,buy,7518.750000000019,2355.1142999999856,-321.4057000000139
2000-05-10,66.19,sit,7518.750000000019,2355.1142999999856,-496.36570000001484
