Time,Price,Action,Inventory,Cash,Profit
1999-12-13,96.62,sit,0.0,10000.0,0.0
1999-12-14,98.69,buy,98.69,9901.063274999999,-0.24672500000087894
1999-12-15,108.44,sell,0.0,10009.232175,9.232174999999188
1999-12-16,113.69,sit,0.0,10009.232175,9.232174999999188
1999-12-17,115.25,buy,115.25,9893.69405,8.944050000000061
1999-12-20,112.75,buy,228.0,9780.662175,6.162174999999479
1999-12-21,115.87,sell,112.75,9896.2425,12.112500000001091
1999-12-22,117.56,sit,112.75,9896.2425,13.802499999999782
1999-12-23,117.44,buy,230.19,9778.508899999999,13.388899999998102
1999-12-27,119.12,sit,230.19,9778.508899999999,16.748899999998685
1999-12-28,117.5,buy,347.69,9660.715149999998,13.215149999998175
1999-12-29,117.94,sell,234.94,9778.360299999998,14.24029999999766
1999-12-30,117.62,sell,117.5,9895.686249999999,13.306249999999636
1999-12-31,116.75,sit,117.5,9895.686249999999,12.436249999998836
2000-01-03,116.56,sell,0.0,10011.954849999998,11.95484999999826
2000-01-04,112.62,buy,112.62,9899.053299999998,11.673299999998562
2000-01-05,113.81,buy,226.43,9784.958775,12.57877499999995
2000-01-06,110.0,buy,336.43,9674.683775,4.683774999999514
2000-01-07,111.44,buy,447.87,9562.965175,8.725174999999581
2000-01-10,112.25,sit,447.87,9562.965175,11.965174999999363
2000-01-11,109.37,sell,221.44,9781.158324999999,-0.10167500000170548
2000-01-12,105.81,sit,221.44,9781.158324999999,-7.221675000000687
2000-01-13,107.81,sell,111.44,9888.698799999998,-3.491200000002209
2000-01-14,112.25,buy,223.69,9776.168174999999,0.6681749999988824
2000-01-18,115.31,buy,339.0,9660.569899999999,6.499899999998888
2000-01-19,107.0,sit,339.0,9660.569899999999,-18.430100000001403
2000-01-20,106.0,sell,227.56,9766.3049,-21.69510000000082
2000-01-21,103.75,sell,115.31,9869.795525,-26.454475000000457
2000-01-24,101.25,sit,115.31,9869.795525,-28.954475000000457
2000-01-25,102.81,buy,218.12,9766.7285,-27.651499999999942
2000-01-26,99.37,buy,317.49,9667.110074999999,-34.77992500000073
2000-01-27,98.75,buy,416.24,9568.113199999998,-36.88680000000204
2000-01-28,98.25,buy,612.74,9371.121949999999,-39.37805000000117
2000-01-31,97.87,sit,612.74,9371.121949999999,-41.65805000000182
2000-02-01,102.94,buy,921.5600000000002,9061.529899999998,-12.010100000003149
2000-02-02,100.81,sell,505.32,9463.761799999997,-32.188200000004144
2000-02-03,103.62,sell,308.82,9670.483699999997,-18.656300000002375
2000-02-04,106.56,buy,415.38,9563.657299999997,-10.102700000003097
2000-02-07,106.62,sell,209.5,9776.364199999998,-10.395800000002055
2000-02-08,109.94,buy,319.44,9666.149349999998,-4.030650000002424
2000-02-09,104.0,sell,216.5,9769.889349999998,-22.11065000000235
2000-02-10,106.0,sell,109.94,9875.624349999998,-18.37565000000177
2000-02-11,99.94,buy,209.88,9775.434499999998,-24.68550000000323
2000-02-14,99.62,buy,309.5,9675.565449999996,-25.574550000003
2000-02-15,98.56,buy,408.06,9576.759049999997,-29.000950000003286
2000-02-16,97.62,sit,408.06,9576.759049999997,-32.760950000003504
2000-02-17,99.62,sell,198.18,9775.500949999998,-25.25905000000239
2000-02-18,95.06,buy,293.24,9680.2033,-34.61670000000049
2000-02-22,93.81,sit,293.24,9680.2033,-38.36670000000049
2000-02-23,94.25,sell,193.62,9774.217675,-37.28232500000013
2000-02-24,94.75,buy,288.37,9679.2308,-36.51920000000064
2000-02-25,91.31,buy,379.68,9587.692525,-47.06747499999983
2000-02-28,91.56,buy,562.8,9404.114725000001,-46.525274999998146
2000-02-29,89.37,sell,274.43,9671.554450000003,-60.33554999999615
2000-03-01,90.81,buy,365.24,9580.517425000004,-56.24257499999658
2000-03-02,93.37,sell,182.37,9766.790575000005,-46.46942499999568
2000-03-03,96.12,sit,182.37,9766.790575000005,-40.96942499999568
2000-03-06,90.62,buy,272.99,9675.944025000004,-52.19597499999509
2000-03-07,92.87,sell,181.43,9768.581850000004,-45.678149999996094
2000-03-08,95.56,buy,276.99,9672.782950000004,-40.53704999999536
2000-03-09,100.0,sit,276.99,9672.782950000004,-27.217049999995652
2000-03-10,101.0,buy,377.99,9571.530450000004,-24.46954999999616
2000-03-13,98.0,sell,196.56,9767.040450000002,-36.95954999999776
2000-03-14,95.12,sell,101.0,9861.922650000002,-42.95734999999695
2000-03-15,95.37,buy,196.37,9766.314225000002,-42.94577499999832
2000-03-16,95.37,sell,95.37,9861.445800000001,-43.18419999999787
2000-03-17,99.37,sit,95.37,9861.445800000001,-39.18419999999787
2000-03-20,97.37,sell,0.0,9958.572375000002,-41.42762499999844
2000-03-21,102.75,buy,102.75,9855.565500000002,-41.68449999999757
2000-03-22,103.25,sit,102.75,9855.565500000002,-41.18449999999757
2000-03-23,111.87,sell,0.0,9967.155825000002,-32.84417499999836
2000-03-24,111.69,sit,0.0,9967.155825000002,-32.84417499999836
2000-03-27,104.06,buy,104.06,9862.835675000002,-33.104324999998425
2000-03-28,104.31,sit,104.06,9862.835675000002,-32.854324999998425
2000-03-29,107.19,buy,211.25,9755.377700000001,-30.242299999999886
2000-03-30,103.37,buy,314.62,9651.749275,-38.14072499999929
2000-03-31,106.25,sell,210.56,9757.73365,-29.766349999999875
2000-04-03,90.87,sit,210.56,9757.73365,-60.52635000000009
2000-04-04,88.56,sell,103.37,9846.07225,-65.36775000000125
2000-04-05,86.37,buy,189.74,9759.486324999998,-67.77367500000219
2000-04-06,86.0,buy,275.74,9673.271324999998,-68.72867500000211
2000-04-07,89.06,sit,275.74,9673.271324999998,-59.54867500000182
2000-04-10,86.06,sit,275.74,9673.271324999998,-68.54867500000182
2000-04-11,83.87,sell,172.37,9756.931649999999,-75.32835000000159
2000-04-12,79.37,buy,251.74,9677.363224999997,-84.52677500000209
2000-04-13,79.25,sit,251.74,9677.363224999997,-84.88677500000267
2000-04-14,74.12,sit,251.74,9677.363224999997,-100.27677500000209
2000-04-17,75.87,sell,165.37,9753.043549999997,-95.21645000000353
2000-04-18,80.56,sell,79.37,9833.402149999996,-86.03785000000425
2000-04-19,78.69,sell,0.0,9911.895424999997,-88.10457500000302
2000-04-20,78.94,buy,78.94,9832.758074999996,-88.3019250000034
2000-04-24,66.62,buy,145.56,9765.971524999995,-100.78847500000484
2000-04-25,69.37,sit,145.56,9765.971524999995,-95.28847500000484
2000-04-26,68.0,sell,66.62,9833.801524999995,-98.19847500000469
2000-04-27,69.81,buy,136.43,9763.816999999995,-96.56300000000374
2000-04-28,69.75,sell,69.81,9833.392624999995,-96.85737500000505
2000-05-01,73.44,buy,143.25,9759.769024999994,-93.35097500000666
2000-05-02,69.87,buy,213.12,9689.724349999993,-100.66565000000628
2000-05-03,70.56,sell,143.31,9760.107949999992,-98.77205000000686
2000-05-04,70.44,sell,69.87,9830.371849999992,-99.18815000000723
2000-05-05,71.12,buy,140.99,9759.074049999992,-98.68595000000823
2000-05-08,69.81,buy,210.8,9689.089524999992,-101.48047500000757
2000-05-09,67.81,sit,210.8,9689.089524999992,-107.48047500000757
2000-05-10,66.19,buy,276.99,9622.734049999992,-112.50595000000794
2000-05-11,67.87,buy,412.73,9486.65469999999,-106.12530000001061
2000-05-12,68.81,sit,412.73,9486.65469999999,-100.48530000000937
2000-05-15,69.37,buy,620.84,9278.024424999987,-97.6455750000132
2000-05-16,69.5,buy,898.84,8999.329424999987,-97.17057500001283
2000-05-17,67.69,sit,898.84,8999.329424999987,-120.70057500001349
2000-05-18,66.19,buy,1295.9800000000002,8601.196574999984,-141.19342500001585
2000-05-19,65.06,buy,1881.5199999999998,8014.192724999985,-164.1272750000153
2000-05-22,64.19,buy,2780.1800000000003,7113.286074999991,-190.73392500000955
2000-05-23,63.19,buy,4107.170000000001,5782.9785999999995,-236.05140000000029
2000-05-24,65.56,sit,4107.170000000001,5782.9785999999995,-86.7414000000008
2000-05-25,61.5,sit,4107.170000000001,5782.9785999999995,-342.52140000000145
2000-05-26,61.44,buy,6011.809999999989,3873.5770000000102,-351.062999999991
2000-05-30,63.38,buy,8990.669999999982,887.2698500000055,-176.15014999999403
2000-05-31,62.56,sit,8990.669999999982,887.2698500000055,-291.770149999993
2000-06-01,64.56,sell,4453.4200000000055,5395.171850000014,-21.0681499999846
2000-06-02,66.31,sell,2281.680000000002,7710.2197250000145,97.37972500001342
2000-06-05,66.87,sit,2281.680000000002,7710.2197250000145,117.5397250000151
2000-06-06,69.62,sit,2281.680000000002,7710.2197250000145,216.5397250000151
2000-06-07,70.5,sell,1140.8400000000001,8976.047225000008,245.04722500000753
2000-06-08,68.81,sit,1140.8400000000001,8976.047225000008,214.62722500000746
2000-06-09,68.81,buy,1760.1299999999997,8355.209000000012,213.07900000001246
2000-06-12,66.87,buy,2629.4399999999982,7483.725725000011,158.52572500001042
2000-06-13,67.87,buy,3986.839999999996,6122.932225000013,195.13222500001393
2000-06-14,70.5,buy,6101.8399999999965,4002.6447250000133,347.64472500001284
2000-06-15,72.37,sit,6101.8399999999965,4002.6447250000133,515.9447250000139
2000-06-16,72.56,sit,6101.8399999999965,4002.6447250000133,533.0447250000143
2000-06-19,73.69,sell,3133.05,7310.404599999997,626.4545999999973
2000-06-20,74.94,sit,3133.05,7310.404599999997,682.7045999999973
2000-06-21,80.69,sell,1621.5,9081.146649999991,937.0166499999905
2000-06-22,79.87,buy,2500.069999999999,8200.380224999983,915.9602249999825
2000-06-23,77.69,sell,1301.5699999999997,9517.808399999973,838.5383999999722
2000-06-26,79.5,sell,718.83,10152.218399999976,867.7183999999761
2000-06-27,78.81,buy,1034.07,9836.190299999978,860.720299999979
2000-06-28,78.94,sit,1034.07,9836.190299999978,862.4102999999777
2000-06-29,77.19,sell,554.85,10298.172449999982,838.5024499999818
2000-06-30,80.0,buy,794.85,10057.572449999981,857.5724499999815
2000-07-03,80.0,sell,397.62,10456.572449999978,856.5724499999778
2000-07-05,78.5,sell,240.0,10613.179949999976,848.6799499999761
2000-07-06,80.94,sell,160.0,10693.917599999975,855.7975999999744
2000-07-07,82.0,buy,242.0,10611.712599999975,857.7125999999753
2000-07-10,79.44,sit,242.0,10611.712599999975,850.032599999975
2000-07-11,79.12,sell,162.0,10690.634799999976,848.874799999976
2000-07-12,80.31,sell,82.0,10770.744024999976,851.0540249999758
2000-07-13,79.94,sell,0.0,10850.484174999976,850.484174999976
2000-07-14,78.94,sit,0.0,10850.484174999976,850.484174999976
2000-07-17,78.19,buy,78.19,10772.098699999975,850.2886999999755
2000-07-18,78.5,sell,0.0,10850.402449999974,850.4024499999741
2000-07-19,73.12,buy,73.12,10777.099649999973,850.2196499999736
2000-07-20,74.81,buy,147.93,10702.102624999974,851.7226249999749
2000-07-21,72.31,sit,147.93,10702.102624999974,846.7226249999749
2000-07-24,70.56,buy,218.49,10631.366224999974,843.0462249999746
2000-07-25,69.0,sit,218.49,10631.366224999974,838.3662249999743
2000-07-26,67.81,sit,218.49,10631.366224999974,834.7962249999746
2000-07-27,69.37,sit,218.49,10631.366224999974,839.4762249999749
2000-07-28,69.69,sit,218.49,10631.366224999974,840.436224999974
2000-07-31,69.81,sell,145.37,10701.001699999973,840.6216999999742
2000-08-01,68.69,sell,70.56,10769.519974999974,838.2099749999743
2000-08-02,69.37,sell,0.0,10838.716549999974,838.7165499999737
2000-08-03,70.25,sit,0.0,10838.716549999974,838.7165499999737
2000-08-04,69.12,sit,0.0,10838.716549999974,838.7165499999737
2000-08-07,70.0,sit,0.0,10838.716549999974,838.7165499999737
2000-08-08,74.12,sit,0.0,10838.716549999974,838.7165499999737
2000-08-09,74.25,sit,0.0,10838.716549999974,838.7165499999737
2000-08-10,72.62,buy,72.62,10765.914999999974,838.5349999999744
